,thermal_stress,air_pollution,green_roof
772,2,3,1
773,2,3,1
774,2,3,1
775,2,3,1
776,2,3,1
777,2,3,0
778,2,3,1
779,2,3,1
780,2,3,0
781,2,3,0
782,2,3,1
783,2,3,1
784,2,3,1
785,2,2,0
786,2,2,1
788,2,2,1
789,2,2,0
790,3,3,1
791,3,3,1
792,3,3,1
793,3,3,0
794,3,3,1
795,3,3,1
796,3,3,1
797,3,3,1
799,2,3,0
800,2,3,0
801,2,2,0
802,2,2,0
803,2,2,0
805,2,3,0
807,2,3,1
808,2,3,0
809,2,3,1
810,2,3,1
811,2,3,0
812,2,3,1
813,2,3,1
814,2,3,0
815,2,3,1
816,2,3,0
818,2,3,1
819,2,3,1
820,2,3,1
821,2,3,0
822,2,3,1
823,2,3,0
824,2,3,1
825,2,3,1
826,2,3,1
827,2,3,1
828,2,3,1
829,2,3,1
830,2,3,1
831,2,3,1
832,2,3,1
833,2,3,1
834,2,3,0
835,2,3,1
836,2,3,1
837,2,3,1
838,2,3,1
840,3,2,1
841,2,3,1
842,2,3,1
843,3,2,1
846,2,2,1
847,2,2,1
848,2,2,1
849,2,2,1
850,2,2,0
851,2,3,0
852,2,3,0
853,2,3,0
854,3,2,0
855,3,2,0
856,2,3,0
857,2,3,0
858,2,3,0
859,2,3,0
862,3,2,1
863,3,2,1
866,2,2,0
867,2,2,0
868,2,2,0
869,2,2,0
870,2,2,0
871,2,2,1
872,2,2,1
873,2,2,0
874,3,2,1
877,3,2,1
878,3,2,1
879,3,2,1
880,3,2,0
881,3,2,0
882,3,2,0
883,3,2,0
884,2,2,0
886,3,2,1
887,3,2,1
888,3,2,1
889,3,2,1
890,3,2,1
891,3,2,1
892,3,2,1
893,3,2,1
894,2,2,1
895,2,2,1
904,3,2,0
905,3,2,0
906,3,2,0
907,3,2,1
908,2,2,0
909,2,2,0
910,3,2,0
911,3,2,0
915,2,2,0
929,2,2,0
931,2,2,1
932,2,2,1
934,2,2,1
935,2,2,1
937,2,2,0
938,2,2,0
940,2,2,0
954,2,2,0
955,2,2,0
956,2,2,1
958,2,2,1
962,2,2,0
963,2,2,0
965,2,2,0
966,2,2,1
967,2,2,0
968,2,2,0
969,3,3,0
970,2,3,1
971,2,3,1
972,2,3,1
973,2,2,1
974,2,2,0
975,2,2,1
976,2,2,1
977,2,2,1
978,2,2,0
979,2,2,0
980,2,2,0
981,2,3,1
982,2,3,1
983,2,3,1
984,2,3,1
986,3,3,1
988,3,3,1
989,3,3,1
990,3,3,1
991,2,3,1
992,2,3,1
993,2,3,1
994,3,3,1
995,3,3,1
996,3,3,1
998,3,3,1
999,3,3,1
1000,3,3,1
1001,3,3,1
1002,3,3,0
1003,3,3,1
1004,3,3,1
1006,2,2,1
1007,2,2,0
1008,2,2,1
1010,2,2,1
1011,2,2,1
1014,2,2,1
1015,2,2,1
1016,2,2,1
1017,2,2,1
1018,2,3,1
1019,3,3,1
1020,3,3,1
1021,2,2,1
1022,2,2,1
1023,2,2,1
1024,2,2,1
1025,2,2,1
1026,2,2,0
1027,2,2,1
1028,2,2,1
1029,2,2,0
1030,2,2,1
1031,2,2,1
1032,2,3,1
1033,2,2,1
1034,2,2,1
1035,2,2,1
1036,2,2,1
1037,2,2,0
1039,2,2,1
1040,3,3,1
1041,2,2,1
1042,2,2,1
1043,2,2,1
1044,2,2,1
1045,2,2,1
1050,2,2,1
1051,2,2,1
1053,2,2,0
